URL,Last crawled
https://docs.scoopanalytics.com/databases,2026-01-20
https://docs.scoopanalytics.com/reference/DOMAIN_INTELLIGENCE_INVESTIGATION_COORDINATOR,2026-01-20
https://docs.scoopanalytics.com/branches/2.1/guides/email-automated-imports,2026-01-20
https://docs.scoopanalytics.com/connect-your-data/automated-snapshotting-of-google-sheets-data,2026-01-20
https://docs.scoopanalytics.com/branches/2.1/guides/scoop-process-mining,2026-01-20
https://docs.scoopanalytics.com/branches/2.1/guides/live-query,2026-01-20
https://docs.scoopanalytics.com/branches/2.1/guides/grouped-reports,2026-01-20
https://docs.scoopanalytics.com/branches/2.1/guides/visualizing-charts-and-tables,2026-01-20
https://docs.scoopanalytics.com/docs/connect-your-data/connecting-to-a-database,2026-01-20
https://docs.scoopanalytics.com/branches/2.1/guides/recipes-collaboration-guide,2026-01-20
https://docs.scoopanalytics.com/reference/MESSAGING_BIBLE,2026-01-19
https://docs.scoopanalytics.com/reference/BULK_CSV_LOADER_GUIDE,2026-01-19
https://docs.scoopanalytics.com/databases/live-query,2026-01-19
https://docs.scoopanalytics.com/docs/google-analytics-4,2026-01-19
https://docs.scoopanalytics.com/docs/data-email-ingestion,2026-01-19
https://docs.scoopanalytics.com/best-practices-in-selectingcreating-source-reports,2026-01-19
"https://docs.scoopanalytics.com/Connecting to 
Data/specific-applications/index",2026-01-19
https://docs.scoopanalytics.com/branches/2.1/guides/visualizations-reporting-guide,2026-01-19
https://docs.scoopanalytics.com/connecting-to-a-business-application,2026-01-19
https://docs.scoopanalytics.com/docs/connect-your-data/email-automated-imports,2026-01-18
https://docs.scoopanalytics.com/Canvases/canvas-objects,2026-01-18
"https://docs.scoopanalytics.com/Exploring and Visualizing 
Data/time-series-analysis",2026-01-18
https://docs.scoopanalytics.com/AI Analytics/automated-analysis,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/reprocessing-data,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/canvases-recipes-deep-dive,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/enterprise-slack-sharing,2026-01-18
"https://docs.scoopanalytics.com/Connecting to 
Data/specific-applications/hubspot",2026-01-18
"https://docs.scoopanalytics.com/Preparing 
Datasets/blending-two-datasets/index",2026-01-18
https://docs.scoopanalytics.com/docs/blending-two-datasets/index,2026-01-18
"https://docs.scoopanalytics.com/Exploring and Visualizing 
Data/charting-time-series-data",2026-01-18
https://docs.scoopanalytics.com/Live Worksheets/creating-a-livesheet,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/meet-your-ai-data-analyst,2026-01-18
https://docs.scoopanalytics.com/blending-two-datasets,2026-01-18
https://docs.scoopanalytics.com/Canvases/importing-a-powerpoint-or-slides-presentation/how-to-create-a-presentation,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/machine-learning-analytics,2026-01-18
https://docs.scoopanalytics.com/chart-types/how-to-create-a-chart,2026-01-18
https://docs.scoopanalytics.com/visual-themes,2026-01-18
https://www.scoopanalytics.com/industry-case-studies/how-research-study-teams-optimized-participant-consent-rates-with-ai-driven-data-analysis-5403e,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/predictive-relationships,2026-01-18
https://www.scoopanalytics.com/industry-case-studies/how-digital-media-agencies-optimized-revenue-forecasting-with-ai-driven-data-analysis-e22ae,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/grouppopulation-comparisons,2026-01-18
https://docs.scoopanalytics.com/Preparing Datasets/blending-two-datasets,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/automated-analysis,2026-01-18
https://docs.scoopanalytics.com/chart-types,2026-01-18
https://docs.scoopanalytics.com/charting-time-series-data,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/scoop-for-slack,2026-01-18
https://docs.scoopanalytics.com/docs/connect-your-data/upload-a-file-or-spreadsheet,2026-01-18
https://docs.scoopanalytics.com/branches/1.0,2026-01-18
https://docs.scoopanalytics.com/branches/2.1/guides/dataset-queries,2026-01-18
https://docs.scoopanalytics.com/specific-applications,2026-01-18
